"strategy","n","gain","gain_num","varpct","varpct_num","vartot","nGeno","nPheno"
"CB",12,"6.28 (SD 1.76)",6.27879899631962,"7.2 (SD 5.6)",7.15413267522002,"7 (SD 10)",33760,6060
"GSRS",12,"5.13 (SD 1.36)",5.13088586968604,"3.1 (SD 1.5)",3.13919653594811,"2 (SD 1)",24060,4060
"MAGIC",8,"4.89 (SD 1.17)",4.88782375142373,"3.0 (SD 2.5)",3.01174978961459,"3 (SD 2)",24120,4120
"PSRS",8,"6.09 (SD 1.89)",6.09003508416014,"25.7 (SD 3.3)",25.7024554626403,"22 (SD 7)",0,24060
