"cycle","year","meanG","gain","varG","varGpct","varGenic","varGenicPct","bridgePoolY","donorPoolY","nElig","nGeno","nPheno","nCross","nBridgeIn","strategy","scenario","axis","level","rep","seed"
19,57,9.65922272989664,3.65922272989664,0.0345511666915929,22.2343135611304,0.0663316888172683,32.1729996611412,NA,NA,0,0,22860,570,0,"PSRS","PSRS","strategy_comparison","PSRS",2,9002
20,60,9.72082199322875,3.72082199322875,0.0314419048225357,20.2334461531679,0.0641681914003816,31.1236339220579,NA,NA,0,0,24060,600,0,"PSRS","PSRS","strategy_comparison","PSRS",2,9002
1,3,6.13104197579763,0.13104197579763,0.158421618540556,101.94723590476,0.202728888328944,98.3300225248095,NA,NA,0,1320,320,30,0,"MAGIC","MAGIC","strategy_comparison","MAGIC",2,9002
2,6,6.35246050801283,0.352460508012827,0.115905684583172,74.587447582972,0.164522189103677,79.7985461950854,NA,NA,0,2520,520,60,0,"MAGIC","MAGIC","strategy_comparison","MAGIC",2,9002
3,9,6.66961128877348,0.669611288773478,0.13937000381982,89.6871701498817,0.151814311716204,73.6348174830467,NA,NA,0,3720,720,90,0,"MAGIC","MAGIC","strategy_comparison","MAGIC",2,9002
4,12,7.10661464280145,1.10661464280145,0.126921694068935,81.6764530363954,0.130481224942298,63.287585175443,NA,NA,0,4920,920,120,0,"MAGIC","MAGIC","strategy_comparison","MAGIC",2,9002
5,15,7.51621661054291,1.51621661054291,0.106773743918581,68.7108751948231,0.120815779362956,58.5995336137586,NA,NA,0,6120,1120,150,0,"MAGIC","MAGIC","strategy_comparison","MAGIC",2,9002
6,18,7.98489766291112,1.98489766291112,0.0901954493506532,58.0424366143747,0.106661731560961,51.7343657994455,NA,NA,0,7320,1320,180,0,"MAGIC","MAGIC","strategy_comparison","MAGIC",2,9002
7,21,8.27250599351249,2.27250599351249,0.0729114335871114,46.9198534173327,0.0916497059041898,44.4530511671755,NA,NA,0,8520,1520,210,0,"MAGIC","MAGIC","strategy_comparison","MAGIC",2,9002
8,24,8.56770927314437,2.56770927314437,0.0584429106633197,37.609091835083,0.0804772806443458,39.0340660560123,NA,NA,0,9720,1720,240,0,"MAGIC","MAGIC","strategy_comparison","MAGIC",2,9002
9,27,8.74152453807224,2.74152453807224,0.0491588129881308,31.6346036018813,0.0686105348983081,33.2783132073568,NA,NA,0,10920,1920,270,0,"MAGIC","MAGIC","strategy_comparison","MAGIC",2,9002
10,30,8.91590983970307,2.91590983970307,0.0307354271464567,19.7788147274309,0.0596694237221407,28.9415870969525,NA,NA,0,12120,2120,300,0,"MAGIC","MAGIC","strategy_comparison","MAGIC",2,9002
11,33,9.12984997467927,3.12984997467927,0.0232779502310518,14.9797906715413,0.0525684357350074,25.4973798382896,NA,NA,0,13320,2320,330,0,"MAGIC","MAGIC","strategy_comparison","MAGIC",2,9002
12,36,9.29074611903143,3.29074611903143,0.0324848156246681,20.9045785058866,0.0422781816511779,20.5062760829769,NA,NA,0,14520,2520,360,0,"MAGIC","MAGIC","strategy_comparison","MAGIC",2,9002
13,39,9.4582491742164,3.4582491742164,0.0287225560102372,18.4834949948053,0.0373015453145959,18.092447609356,NA,NA,0,15720,2720,390,0,"MAGIC","MAGIC","strategy_comparison","MAGIC",2,9002
14,42,9.49198069971405,3.49198069971405,0.0208853086187498,13.4400816272075,0.0292358541396975,14.1803283182018,NA,NA,0,16920,2920,420,0,"MAGIC","MAGIC","strategy_comparison","MAGIC",2,9002
15,45,9.55752266669957,3.55752266669957,0.0134067644689096,8.62750041706952,0.028321693225676,13.7369309119023,NA,NA,0,18120,3120,450,0,"MAGIC","MAGIC","strategy_comparison","MAGIC",2,9002
16,48,9.55232281908325,3.55232281908325,0.0185023495966993,11.9066035084357,0.0231652140534975,11.2358728864358,NA,NA,0,19320,3320,480,0,"MAGIC","MAGIC","strategy_comparison","MAGIC",2,9002
17,51,9.6022554158358,3.6022554158358,0.0116206160339285,7.47808092786444,0.0189418157283457,9.18738904248756,NA,NA,0,20520,3520,510,0,"MAGIC","MAGIC","strategy_comparison","MAGIC",2,9002
