"cycle","year","meanG","gain","varG","varGpct","varGenic","varGenicPct","bridgePoolY","donorPoolY","nElig","nGeno","nPheno","nCross","nBridgeIn","strategy","scenario","axis","level","rep","seed","donorImprove","group","donorMeanObs","donorGapObs","burnInUsed","eliteVarObs","h2","cycleYears","nBridge","bridgeBar","bridgeLag","varGxERatio"
20,60,14.0558260639021,8.05582606390212,0.0189851758089229,4.36354248144467,0.0223390421770692,4.18456973548247,NA,NA,0,24060,4060,600,0,"GSRS","GSRS_base","baseline","baseline",1,8201,0,"core",NA,NA,7,0.435086306358988,0.3,3,2,"poolMean",0,0
1,3,6.4768690211816,0.476869021181605,0.471167297163316,108.292835301178,0.516261745819053,96.7066206338654,5.35550708472754,3.39972788024514,1,1460,360,40,1,"CB","CB_base","baseline","2 bridge lines per cycle (as specified)",1,8201,0,"core",3.21330007959833,2.78669992040167,7,0.435086306358988,0.3,3,2,"poolMean",0,0
2,6,7.45268777485125,1.45268777485125,0.521529699837169,119.868102538455,0.505953311264036,94.7756352801869,6.51748448352404,3.41619079069088,29,3160,660,90,3,"CB","CB_base","baseline","2 bridge lines per cycle (as specified)",1,8201,0,"core",3.21330007959833,2.78669992040167,7,0.435086306358988,0.3,3,2,"poolMean",0,0
3,9,8.62095386877619,2.62095386877619,0.349004830073067,80.2150803121587,0.450842184492009,84.4521687971303,7.46759210856247,3.45630707088603,53,4860,960,140,5,"CB","CB_base","baseline","2 bridge lines per cycle (as specified)",1,8201,0,"core",3.21330007959833,2.78669992040167,7,0.435086306358988,0.3,3,2,"poolMean",0,0
4,12,9.38391694295846,3.38391694295846,0.274303033767894,63.0456600814203,0.34887170617666,65.3509658857053,8.28290637892283,3.53142787052059,53,6560,1260,190,7,"CB","CB_base","baseline","2 bridge lines per cycle (as specified)",1,8201,0,"core",3.21330007959833,2.78669992040167,7,0.435086306358988,0.3,3,2,"poolMean",0,0
5,15,10.070376336157,4.07037633615701,0.258265883922924,59.3596902840306,0.305217717954031,57.17366103523,8.70059411614516,3.4974179465145,77,8260,1560,240,9,"CB","CB_base","baseline","2 bridge lines per cycle (as specified)",1,8201,0,"core",3.21330007959833,2.78669992040167,7,0.435086306358988,0.3,3,2,"poolMean",0,0
6,18,10.8515609646999,4.85156096469994,0.189425005816438,43.5373403041888,0.278778444497754,52.2210322404802,9.27484871855495,3.46703797894082,95,9960,1860,290,11,"CB","CB_base","baseline","2 bridge lines per cycle (as specified)",1,8201,0,"core",3.21330007959833,2.78669992040167,7,0.435086306358988,0.3,3,2,"poolMean",0,0
7,21,11.4321033121586,5.43210331215858,0.229421025846902,52.7300037932263,0.269553686576149,50.4930421811963,9.55348731643141,3.42078663715744,105,11660,2160,340,13,"CB","CB_base","baseline","2 bridge lines per cycle (as specified)",1,8201,0,"core",3.21330007959833,2.78669992040167,7,0.435086306358988,0.3,3,2,"poolMean",0,0
8,24,12.0160946051795,6.01609460517946,0.15579861162258,35.8086681528494,0.231618047557838,43.3869037141155,10.12497275553,3.3030185144389,78,13360,2460,390,15,"CB","CB_base","baseline","2 bridge lines per cycle (as specified)",1,8201,0,"core",3.21330007959833,2.78669992040167,7,0.435086306358988,0.3,3,2,"poolMean",0,0
9,27,12.6212410904968,6.6212410904968,0.174258276804392,40.0514275575964,0.204917906273434,38.3854089201036,10.3658515022042,3.13427129141263,74,15060,2760,440,17,"CB","CB_base","baseline","2 bridge lines per cycle (as specified)",1,8201,0,"core",3.21330007959833,2.78669992040167,7,0.435086306358988,0.3,3,2,"poolMean",0,0
